Record Length,Analog:7000,
Sample Interval,Analog:1.000000E-05,
Vertical Units,CH1:V, CH3:V, CH4:V,,
Vertical Scale,CH1:+2.000000E+00, CH3:+2.000000E+00, CH4:+5.000000E-01,,
Vertical Offset,CH1:-6.600000E+00, CH3:-6.160000E+00, CH4:-1.278000E+01,,
Horizontal Units,us,
Horizontal Scale,+5.000000E+03,
Model Number,SDS1104X-E,
Serial Number,SDSMMGKD7R7907,
Software Version,8.3.6.1.37R10,
Source,CH1,CH3,CH4
Second,Value,Value,Value
+4.371700E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.371800E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.371900E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.372000E-01,+1.240000E+00,+1.272000E+01,+1.052000E+01
+4.372100E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.372200E-01,+1.160000E+00,+1.272000E+01,+1.052000E+01
+4.372300E-01,+1.080000E+00,+1.256000E+01,+1.052000E+01
+4.372400E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.372500E-01,+1.160000E+00,+1.272000E+01,+1.052000E+01
+4.372600E-01,+1.000000E+00,+1.272000E+01,+1.052000E+01
+4.372700E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.372800E-01,+1.080000E+00,+1.272000E+01,+1.052000E+01
+4.372900E-01,+1.080000E+00,+1.272000E+01,+1.052000E+01
+4.373000E-01,+1.160000E+00,+1.272000E+01,+1.052000E+01
+4.373100E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.373200E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.373300E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.373400E-01,+1.160000E+00,+1.272000E+01,+1.052000E+01
+4.373500E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.373600E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.373700E-01,+1.240000E+00,+1.272000E+01,+1.052000E+01
+4.373800E-01,+1.080000E+00,+1.272000E+01,+1.052000E+01
+4.373900E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.374000E-01,+1.080000E+00,+1.272000E+01,+1.052000E+01
+4.374100E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.374200E-01,+1.160000E+00,+1.272000E+01,+1.052000E+01
+4.374300E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
