Record Length,Analog:7000,
Sample Interval,Analog:1.000000E-05,
Vertical Units,CH1:V, CH3:V, CH4:V,,
Vertical Scale,CH1:+2.000000E+00, CH3:+2.000000E+00, CH4:+5.000000E-01,,
Vertical Offset,CH1:-6.600000E+00, CH3:-6.160000E+00, CH4:-1.278000E+01,,
Horizontal Units,us,
Horizontal Scale,+5.000000E+03,
Model Number,SDS1104X-E,
Serial Number,SDSMMGKD7R7907,
Software Version,8.3.6.1.37R10,
Source,CH1,CH3,CH4
Second,Value,Value,Value
+4.565000E-01,+1.204000E+01,+1.256000E+01,+1.052000E+01
+4.565100E-01,+1.220000E+01,+1.272000E+01,+1.052000E+01
+4.565200E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.565300E-01,+1.204000E+01,+1.256000E+01,+1.052000E+01
+4.565400E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.565500E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.565600E-01,+1.212000E+01,+1.256000E+01,+1.052000E+01
+4.565700E-01,+1.228000E+01,+1.272000E+01,+1.052000E+01
+4.565800E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.565900E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.566000E-01,+1.188000E+01,+1.232000E+01,+1.052000E+01
+4.566100E-01,+1.220000E+01,+1.264000E+01,+1.052000E+01
+4.566200E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.566300E-01,+1.228000E+01,+1.280000E+01,+1.052000E+01
+4.566400E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.566500E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.566600E-01,+1.204000E+01,+1.256000E+01,+1.052000E+01
+4.566700E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.566800E-01,+1.196000E+01,+1.256000E+01,+1.052000E+01
+4.566900E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.567000E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.567100E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.567200E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.567300E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.567400E-01,+1.116000E+01,+1.248000E+01,+1.052000E+01
+4.567500E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.567600E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.567700E-01,+1.228000E+01,+1.272000E+01,+1.052000E+01
+4.567800E-01,+1.212000E+01,+1.256000E+01,+1.052000E+01
+4.567900E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.568000E-01,+1.212000E+01,+1.248000E+01,+1.052000E+01
+4.568100E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.568200E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.568300E-01,+1.188000E+01,+1.264000E+01,+1.052000E+01
+4.568400E-01,+7.480000E+00,+1.264000E+01,+1.052000E+01
+4.568500E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.568600E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.568700E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.568800E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.568900E-01,+1.960000E+00,+1.264000E+01,+1.052000E+01
+4.569000E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.569100E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.569200E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.569300E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.569400E-01,+1.228000E+01,+1.264000E+01,+1.052000E+01
+4.569500E-01,+1.196000E+01,+1.264000E+01,+1.052000E+01
+4.569600E-01,+1.212000E+01,+1.256000E+01,+1.052000E+01
+4.569700E-01,+1.196000E+01,+1.256000E+01,+1.052000E+01
+4.569800E-01,+1.212000E+01,+1.256000E+01,+1.052000E+01
+4.569900E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.570000E-01,+1.212000E+01,+1.256000E+01,+1.052000E+01
+4.570100E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.570200E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.570300E-01,+1.204000E+01,+1.256000E+01,+1.052000E+01
+4.570400E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.570500E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.570600E-01,+1.228000E+01,+1.272000E+01,+1.052000E+01
+4.570700E-01,+1.220000E+01,+1.264000E+01,+1.052000E+01
+4.570800E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.570900E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.571000E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.571100E-01,+1.196000E+01,+1.264000E+01,+1.052000E+01
+4.571200E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.571300E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.571400E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.571500E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.571600E-01,+1.196000E+01,+1.256000E+01,+1.052000E+01
+4.571700E-01,+1.204000E+01,+1.256000E+01,+1.052000E+01
+4.571800E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.571900E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.572000E-01,+1.244000E+01,+1.288000E+01,+1.052000E+01
+4.572100E-01,+1.116000E+01,+1.264000E+01,+1.052000E+01
+4.572200E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.572300E-01,+1.080000E+00,+1.256000E+01,+1.052000E+01
+4.572400E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.572500E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.572600E-01,+1.080000E+00,+1.288000E+01,+1.052000E+01
+4.572700E-01,+1.000000E+00,+1.256000E+01,+1.052000E+01
+4.572800E-01,+1.080000E+00,+1.272000E+01,+1.052000E+01
+4.572900E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.573000E-01,+1.000000E+00,+1.272000E+01,+1.052000E+01
+4.573100E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.573200E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.573300E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.573400E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.573500E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.573600E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.573700E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.573800E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.573900E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.574000E-01,+1.000000E+00,+1.272000E+01,+1.052000E+01
+4.574100E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.574200E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.574300E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.574400E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.574500E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.574600E-01,+5.200000E-01,+1.240000E+01,+1.052000E+01
+4.574700E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.574800E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.574900E-01,+1.320000E+00,+1.272000E+01,+1.052000E+01
+4.575000E-01,+9.200001E-01,+1.264000E+01,+1.052000E+01
+4.575100E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.575200E-01,+9.200001E-01,+1.264000E+01,+1.052000E+01
+4.575300E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.575400E-01,+9.200001E-01,+1.264000E+01,+1.052000E+01
+4.575500E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.575600E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.575700E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.575800E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.575900E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.576000E-01,+9.200001E-01,+1.256000E+01,+1.052000E+01
+4.576100E-01,+1.000000E+00,+1.256000E+01,+1.052000E+01
+4.576200E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.576300E-01,+1.320000E+00,+1.272000E+01,+1.052000E+01
+4.576400E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.576500E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.576600E-01,+1.000000E+00,+1.240000E+01,+1.052000E+01
+4.576700E-01,+9.200001E-01,+1.256000E+01,+1.052000E+01
+4.576800E-01,+3.480000E+00,+1.264000E+01,+1.052000E+01
+4.576900E-01,+1.228000E+01,+1.288000E+01,+1.052000E+01
+4.577000E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.577100E-01,+1.212000E+01,+1.272000E+01,+1.052000E+01
+4.577200E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.577300E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.577400E-01,+1.204000E+01,+1.256000E+01,+1.052000E+01
+4.577500E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.577600E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.577700E-01,+1.220000E+01,+1.264000E+01,+1.052000E+01
+4.577800E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.577900E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.578000E-01,+1.220000E+01,+1.264000E+01,+1.052000E+01
+4.578100E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.578200E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.578300E-01,+1.220000E+01,+1.272000E+01,+1.052000E+01
+4.578400E-01,+2.920000E+00,+1.264000E+01,+1.052000E+01
+4.578500E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.578600E-01,+1.000000E+00,+1.256000E+01,+1.052000E+01
+4.578700E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.578800E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.578900E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.579000E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.579100E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.579200E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.579300E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.579400E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.579500E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.579600E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.579700E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.579800E-01,+1.000000E+00,+1.272000E+01,+1.052000E+01
+4.579900E-01,+9.200001E-01,+1.264000E+01,+1.052000E+01
+4.580000E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.580100E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.580200E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.580300E-01,+8.400002E-01,+1.256000E+01,+1.052000E+01
+4.580400E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.580500E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.580600E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.580700E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.580800E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.580900E-01,+8.400002E-01,+1.240000E+01,+1.052000E+01
+4.581000E-01,+9.200001E-01,+1.264000E+01,+1.052000E+01
+4.581100E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.581200E-01,+1.160000E+00,+1.272000E+01,+1.052000E+01
+4.581300E-01,+1.000000E+00,+1.256000E+01,+1.052000E+01
+4.581400E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.581500E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.581600E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.581700E-01,+1.000000E+00,+1.256000E+01,+1.052000E+01
+4.581800E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.581900E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.582000E-01,+3.400000E+00,+1.264000E+01,+1.052000E+01
+4.582100E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.582200E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.582300E-01,+1.212000E+01,+1.248000E+01,+1.052000E+01
+4.582400E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.582500E-01,+1.116000E+01,+1.264000E+01,+1.052000E+01
+4.582600E-01,+1.560000E+00,+1.288000E+01,+1.052000E+01
+4.582700E-01,+1.000000E+00,+1.256000E+01,+1.052000E+01
+4.582800E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.582900E-01,+1.000000E+00,+1.256000E+01,+1.052000E+01
+4.583000E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.583100E-01,+1.188000E+01,+1.264000E+01,+1.052000E+01
+4.583200E-01,+1.196000E+01,+1.264000E+01,+1.052000E+01
+4.583300E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.583400E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.583500E-01,+1.220000E+01,+1.264000E+01,+1.052000E+01
+4.583600E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.583700E-01,+1.220000E+01,+1.264000E+01,+1.052000E+01
+4.583800E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.583900E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.584000E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.584100E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.584200E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.584300E-01,+1.220000E+01,+1.272000E+01,+1.052000E+01
+4.584400E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.584500E-01,+1.196000E+01,+1.264000E+01,+1.052000E+01
+4.584600E-01,+8.760000E+00,+1.256000E+01,+1.052000E+01
+4.584700E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.584800E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.584900E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.585000E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.585100E-01,+1.160000E+00,+1.256000E+01,+1.052000E+01
+4.585200E-01,+1.196000E+01,+1.256000E+01,+1.052000E+01
+4.585300E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.585400E-01,+1.196000E+01,+1.264000E+01,+1.052000E+01
+4.585500E-01,+1.228000E+01,+1.280000E+01,+1.052000E+01
+4.585600E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.585700E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.585800E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.585900E-01,+1.220000E+01,+1.264000E+01,+1.052000E+01
+4.586000E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.586100E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.586200E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.586300E-01,+1.212000E+01,+1.272000E+01,+1.052000E+01
+4.586400E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.586500E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.586600E-01,+1.196000E+01,+1.240000E+01,+1.052000E+01
+4.586700E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.586800E-01,+1.204000E+01,+1.256000E+01,+1.052000E+01
+4.586900E-01,+1.228000E+01,+1.272000E+01,+1.052000E+01
+4.587000E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.587100E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.587200E-01,+1.212000E+01,+1.248000E+01,+1.052000E+01
+4.587300E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.587400E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.587500E-01,+1.204000E+01,+1.280000E+01,+1.052000E+01
+4.587600E-01,+1.204000E+01,+1.256000E+01,+1.052000E+01
+4.587700E-01,+1.124000E+01,+1.272000E+01,+1.052000E+01
+4.587800E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.587900E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.588000E-01,+1.000000E+00,+1.256000E+01,+1.052000E+01
+4.588100E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.588200E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.588300E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.588400E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.588500E-01,+9.200001E-01,+1.264000E+01,+1.052000E+01
+4.588600E-01,+1.160000E+00,+1.272000E+01,+1.052000E+01
+4.588700E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.588800E-01,+1.084000E+01,+1.264000E+01,+1.052000E+01
+4.588900E-01,+1.196000E+01,+1.272000E+01,+1.052000E+01
+4.589000E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.589100E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.589200E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.589300E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.589400E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.589500E-01,+1.172000E+01,+1.248000E+01,+1.052000E+01
+4.589600E-01,+1.212000E+01,+1.272000E+01,+1.052000E+01
+4.589700E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.589800E-01,+1.220000E+01,+1.272000E+01,+1.052000E+01
+4.589900E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.590000E-01,+1.220000E+01,+1.264000E+01,+1.052000E+01
+4.590100E-01,+1.212000E+01,+1.272000E+01,+1.052000E+01
+4.590200E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.590300E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.590400E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.590500E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.590600E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.590700E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.590800E-01,+1.204000E+01,+1.272000E+01,+1.052000E+01
+4.590900E-01,+1.080000E+00,+1.248000E+01,+1.052000E+01
+4.591000E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.591100E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.591200E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.591300E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.591400E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.591500E-01,+1.080000E+00,+1.256000E+01,+1.052000E+01
+4.591600E-01,+1.000000E+00,+1.256000E+01,+1.052000E+01
+4.591700E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.591800E-01,+1.320000E+00,+1.288000E+01,+1.052000E+01
+4.591900E-01,+7.960000E+00,+1.264000E+01,+1.052000E+01
+4.592000E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.592100E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.592200E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.592300E-01,+1.196000E+01,+1.256000E+01,+1.052000E+01
+4.592400E-01,+9.320000E+00,+1.264000E+01,+1.052000E+01
+4.592500E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.592600E-01,+1.160000E+00,+1.272000E+01,+1.052000E+01
+4.592700E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.592800E-01,+9.200001E-01,+1.264000E+01,+1.052000E+01
+4.592900E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.593000E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.593100E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.593200E-01,+1.240000E+00,+1.288000E+01,+1.052000E+01
+4.593300E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.593400E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.593500E-01,+1.172000E+01,+1.264000E+01,+1.052000E+01
+4.593600E-01,+1.196000E+01,+1.264000E+01,+1.052000E+01
+4.593700E-01,+1.212000E+01,+1.272000E+01,+1.052000E+01
+4.593800E-01,+1.172000E+01,+1.256000E+01,+1.052000E+01
+4.593900E-01,+1.212000E+01,+1.272000E+01,+1.052000E+01
+4.594000E-01,+3.080000E+00,+1.264000E+01,+1.052000E+01
+4.594100E-01,+1.080000E+00,+1.272000E+01,+1.052000E+01
+4.594200E-01,+1.080000E+00,+1.272000E+01,+1.052000E+01
+4.594300E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.594400E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.594500E-01,+7.960000E+00,+1.264000E+01,+1.052000E+01
+4.594600E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.594700E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.594800E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.594900E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.595000E-01,+9.240000E+00,+1.272000E+01,+1.052000E+01
+4.595100E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.595200E-01,+8.400002E-01,+1.264000E+01,+1.052000E+01
+4.595300E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.595400E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.595500E-01,+1.240000E+00,+1.264000E+01,+1.052000E+01
+4.595600E-01,+1.196000E+01,+1.264000E+01,+1.052000E+01
+4.595700E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.595800E-01,+1.204000E+01,+1.256000E+01,+1.052000E+01
+4.595900E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.596000E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.596100E-01,+1.228000E+01,+1.280000E+01,+1.052000E+01
+4.596200E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.596300E-01,+1.212000E+01,+1.272000E+01,+1.052000E+01
+4.596400E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.596500E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.596600E-01,+1.196000E+01,+1.264000E+01,+1.052000E+01
+4.596700E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.596800E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.596900E-01,+1.212000E+01,+1.272000E+01,+1.052000E+01
+4.597000E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.597100E-01,+6.360000E+00,+1.280000E+01,+1.052000E+01
+4.597200E-01,+1.080000E+00,+1.248000E+01,+1.052000E+01
+4.597300E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.597400E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.597500E-01,+1.240000E+00,+1.272000E+01,+1.052000E+01
+4.597600E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.597700E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.597800E-01,+1.080000E+00,+1.256000E+01,+1.052000E+01
+4.597900E-01,+9.200001E-01,+1.264000E+01,+1.052000E+01
+4.598000E-01,+1.080000E+00,+1.272000E+01,+1.052000E+01
+4.598100E-01,+9.200001E-01,+1.264000E+01,+1.052000E+01
+4.598200E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.598300E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.598400E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.598500E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.598600E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.598700E-01,+1.080000E+00,+1.256000E+01,+1.052000E+01
+4.598800E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.598900E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.599000E-01,+1.080000E+00,+1.272000E+01,+1.052000E+01
+4.599100E-01,+9.200001E-01,+1.256000E+01,+1.052000E+01
+4.599200E-01,+1.240000E+00,+1.272000E+01,+1.052000E+01
+4.599300E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.599400E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.599500E-01,+8.400002E-01,+1.256000E+01,+1.052000E+01
+4.599600E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.599700E-01,+9.200001E-01,+1.264000E+01,+1.052000E+01
+4.599800E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.599900E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.600000E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.600100E-01,+8.400002E-01,+1.256000E+01,+1.052000E+01
+4.600200E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.600300E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.600400E-01,+1.560000E+00,+1.288000E+01,+1.052000E+01
+4.600500E-01,+9.200001E-01,+1.264000E+01,+1.052000E+01
+4.600600E-01,+1.080000E+00,+1.272000E+01,+1.052000E+01
+4.600700E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.600800E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.600900E-01,+1.000000E+00,+1.256000E+01,+1.052000E+01
+4.601000E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.601100E-01,+1.000000E+00,+1.256000E+01,+1.052000E+01
+4.601200E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.601300E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.601400E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.601500E-01,+9.200001E-01,+1.248000E+01,+1.052000E+01
+4.601600E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.601700E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.601800E-01,+1.084000E+01,+1.264000E+01,+1.052000E+01
+4.601900E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.602000E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.602100E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.602200E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.602300E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.602400E-01,+1.212000E+01,+1.272000E+01,+1.052000E+01
+4.602500E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.602600E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.602700E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.602800E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.602900E-01,+1.212000E+01,+1.256000E+01,+1.052000E+01
+4.603000E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
